cd_api_field,cd_ui_label,required,field_type,source,default_value,our_field,extraction_accuracy,business_rule,your_input_needed,Answer
price.cod.amount,COP/COD Amount (required),YES,number,DEFAULT,0,n/a,n/a,Default 0. Means no cash at pickup/delivery and everything via balance.,When would COD != 0? Do you ever pay cash on delivery?,Default 0. Means no cash at pickup/delivery and everything via balance.
price.cod.paymentMethod,COP/COD Payment Method,YES,dropdown,DEFAULT,CASH_CERTIFIED_FUNDS,n/a,n/a,Conditional - only if COD > 0. Default Certified Funds.,Which method if COD > 0?,Default Certified Funds.
price.cod.paymentLocation,COP/COD Location,YES,"dropdown: PICKUP, DELIVERY",DEFAULT,DELIVERY,n/a,n/a,Conditional - only if COD > 0. Default Delivery.,Pickup or Delivery for COD?,Default Delivery.
price.balance.amount,Balance Amount,YES auto,number,AUTO,price.total - cod.amount,n/a,n/a,Auto: total minus COD. If COD=0 then balance = total.,Confirm: always balance = total (COD always 0)?,AUTO
price.balance.paymentMethod,Balance Payment Method,YES,dropdown,DEFAULT,CERTIFIED_FUNDS,n/a,n/a,Default Certified Funds. Operator can change.,Other methods used? CHECK? ACH?,Default Certified Funds
price.balance.paymentTime,Balance Payment Time,YES,dropdown,DEFAULT,2_BUSINESS_DAYS,n/a,n/a,Default 2 Business Days (Quick Pay). Options: IMMEDIATELY / 2 / 5 / 15 / 30 BUSINESS_DAYS,Always 2 Business Days? Or depends on amount?,Default 2 Business Days (Quick Pay
price.balance.balancePaymentTermsBeginOn,Balance Terms Begin On,YES,dropdown,DEFAULT,RECEIVING_SIGNED_BOL,n/a,n/a,Default Receiving a Signed Bill Of Lading. Options: PICKUP / DELIVERY / RECEIVING_SIGNED_BOL,Always BOL? Or sometimes on delivery?,Default Receiving a Signed Bill Of Lading
stops[0].locationName,Pick-Up Location Name,NO,string,EXTRACTED,n/a,pickup_name,100%,Auction/lot name. Example: Copart Riverview or IAA Clearwater,Always correct?,For Copart or IAAI we can simply write the auction name without specifying the branch
stops[0].address,Pick-Up Address (required),YES,string,EXTRACTED,n/a,pickup_address,95%,Pickup address. CD shows ONLY city/state/zip before dispatch.,Should we verify address via Google Maps before export?,"There is no need to verify the address via Google. For Manheim, if we see that OFFICE VEHICLE RELEASE is attached (usually it also says ""This vehicle is not located at a Manheim facility""), then we need to compare the address in the OFFICE VEHICLE RELEASE and the seller's address. If they are the same, then the location will be named according to the seller's name. If the seller's address and the OFFICE VEHICLE RELEASE address are different, then we need to check on GOOGLE MAPS what business or auction is located at this address and offer our operator to choose an address from those found."
stops[0].city,Pick-Up City,YES,string,EXTRACTED,n/a,pickup_city,100%,Pickup city.,n/a,
stops[0].state,Pick-Up State,YES,string 2-letter,EXTRACTED,n/a,pickup_state,100%,Pickup state (2 letters).,n/a,
stops[0].postalCode,Pick-Up ZIP,YES,string,EXTRACTED,n/a,pickup_zip,100%,Pickup ZIP code.,n/a,
stops[0].phone,Pick-Up Phone,NO,string,EXTRACTED or MANUAL,n/a,pickup_phone,30%,Often missing from document. Operator enters manually or from auction directory.,Do you have a directory of auction phone numbers by location?,"Usually the phone number is listed in the documents from the IAAI, and in Mannheim, for Copart, it is necessary to check the complete directory of phone addresses for each Copart location so that we have a directory of all Copart location addresses."
stops[0].contactName,Pick-Up Contact,NO,string,MANUAL,n/a,n/a,n/a,Contact person at pickup. Usually not needed for auctions.,Do you specify pickup contact?,"This information is important in some special cases, and then it is entered manually; as a rule, it is not indicated by default."
stops[0].locationType,Pick-Up Location Type,NO,string,EXTRACTED,n/a,pickup_location_type,95%,Type: Auction / Dealership / Residence / Business. Extracted as AUCTION for Copart/IAA.,What types besides AUCTION do you use?,Dealership / Residence / Business - Usually it's easy to check via Google Maps
stops[0].buyerReferenceNumber,Buyer Reference Number,NO,string,EXTRACTED,n/a,buyer_id,100%,Copart Member ID / IAA Buyer ID. In CD = Buyer reference number. Example: 535527,Confirm: buyer_id maps to CD Buyer Reference Number?,"This is an important field and this information is in all main types of documents from Copart (MEMBER), IAAI (Buyer #), Manheim (Buyer Account #)."
stops[1].locationName,Delivery Location Name,NO,string,WAREHOUSE DB,n/a,delivery_name,n/a,Warehouse/dealer name from settings. NOT from document.,How many warehouses do you use? List names.,"This is reference information that should be collected from the addresses of warehouses in the region where we plan to make deliveries, and which we create as delivery points in our program."
stops[1].address,Delivery Address (required),YES,string,WAREHOUSE DB,n/a,delivery_address,n/a,Delivery address from warehouse DB.,Provide warehouse address(es),"This is reference information that should be collected from the addresses of warehouses in the region where we plan to make deliveries, and which we create as delivery points in our program."
stops[1].city,Delivery City,YES,string,WAREHOUSE DB,n/a,delivery_city,n/a,Delivery city.,n/a,"This is reference information that should be collected from the addresses of warehouses in the region where we plan to make deliveries, and which we create as delivery points in our program."
stops[1].state,Delivery State,YES,string 2-letter,WAREHOUSE DB,n/a,delivery_state,n/a,Delivery state.,n/a,"This is reference information that should be collected from the addresses of warehouses in the region where we plan to make deliveries, and which we create as delivery points in our program."
stops[1].postalCode,Delivery ZIP,YES,string,WAREHOUSE DB,n/a,delivery_zip,n/a,Delivery ZIP.,n/a,"This is reference information that should be collected from the addresses of warehouses in the region where we plan to make deliveries, and which we create as delivery points in our program."
stops[1].phone,Delivery Phone,NO,string,WAREHOUSE DB,n/a,delivery_phone,n/a,Warehouse phone.,Provide warehouse phone,"This is reference information that should be collected from the addresses of warehouses in the region where we plan to make deliveries, and which we create as delivery points in our program."
stops[1].contactName,Delivery Contact,NO,string,WAREHOUSE DB,n/a,n/a,n/a,Contact at warehouse.,Who receives vehicles at warehouse?,"This is reference information that should be collected from the addresses of warehouses in the region where we plan to make deliveries, and which we create as delivery points in our program."
stops[1].contactPhone,Delivery Contact Phone,NO,string,WAREHOUSE DB,n/a,n/a,n/a,Warehouse contact phone.,n/a,"This is reference information that should be collected from the addresses of warehouses in the region where we plan to make deliveries, and which we create as delivery points in our program."
stops[1].locationType,Delivery Location Type,NO,string,DEFAULT,Business,n/a,n/a,Type: Dealership / Business / Residence.,Which type - Dealership or Business?,"This is reference information that should be collected from the addresses of warehouses in the region where we plan to make deliveries, and which we create as delivery points in our program."
vehicles[0].vin,VIN,YES,string 17 chars,EXTRACTED,n/a,vehicle_vin,100%,Vehicle VIN. CD auto-fills Year/Make/Model from VIN but we send all fields.,n/a,
vehicles[0].year,Year (required),YES*,integer,EXTRACTED,n/a,vehicle_year,100%,*CD can determine from VIN. We send for reliability.,n/a,
vehicles[0].make,Make (required),YES*,string,EXTRACTED,n/a,vehicle_make,100%,*CD can determine from VIN. We send for reliability.,n/a,
vehicles[0].model,Model (required),YES*,string,EXTRACTED,n/a,vehicle_model,100%,*CD can determine from VIN. We send for reliability.,n/a,
vehicles[0].vehicleType,Vehicle Type (required),YES,dropdown,EXTRACTED,n/a,vehicle_type,95%,CAR / SUV / VAN / TRUCK / MOTORCYCLE. Extracted from document.,Is type always correct? SUV vs Crossover issues?,"This field cannot be EXTRACTED.
- We usually specify the VIN, and the Dispatch Center automatically selects the correct vehicle type. Ours doesn't have this information. If this is a required field, and the correct VIN isn't sufficient, you can try setting the default to CAR."
vehicles[0].color,Vehicle Color,NO,string,EXTRACTED,n/a,vehicle_color,95%,Vehicle color. Optional but useful.,n/a,"If this is found in the document templates, then we indicate it; if not, then we leave it blank."
vehicles[0].lotNumber,Lot Number,NO,string,EXTRACTED,n/a,vehicle_lot,100% Copart / fixed IAA,Lot number. IAA: prefix 000- removed.,n/a,"In Copart documents it is called LOT#, in IAAI documents it is called StockNo."
vehicles[0].isInoperable,Inoperable?,NO,boolean,EXTRACTED,FALSE,vehicle_is_inoperable,100%,Matches hasInOpVehicle at top level.,n/a,
vehicles[0].additionalInfo,Additional Vehicle Information,NO,string max 500,MANUAL + OPTIONAL,empty,n/a,n/a,Visible only to carrier after dispatch. Gate Pass can be added here. Example: Gate Pass: ABC123,What do you usually put in Additional Info? Gate Pass? Charging cables?,GATE PASS
vehicles[0].licensePlate,License Plate,NO,string,NOT EXTRACTED,empty,n/a,n/a,Not extracted from auction documents.,Do you need this?,NO
loadSpecificTerms,Load-Specific Terms,NO,string max 500,TEMPLATE + MANUAL,template,n/a,n/a,Template: your contacts and payment method and pickup/delivery description + special instructions. Visible only after dispatch.,Provide template: your contacts + standard terms,"Here we typically state: ""TEXT 857-895-8777 (ZELLE AVAILABLE THE DAY AFTER DELIVERY). Pick-up location - [Auction name], Delivery - WAREHOUSE"" "
transportationReleaseNotes,Transport Special Instructions,NO,string,TEMPLATE + MANUAL,template,n/a,n/a,Template: warehouse work schedule and appointment needed and how to schedule. Visible only to carrier after dispatch.,Provide: warehouse schedule + appointment procedure,"This is reference information that should be collected from the addresses of warehouses in the region where we plan to make deliveries, and which we create as delivery points in our program."
gate_pass,NOT a CD field - internal,NO,string,EXTRACTED from email,n/a,gate_pass,n/a,Extracted from email body and stored in table. Can be added to additionalInfo optionally.,Always from email? Or sometimes in PDF?,EXTRACTED from email
manheim_release_date,NOT a CD field - internal,NO,date,EXTRACTED from Manheim doc,n/a,manheim_release_date,n/a,Manheim: vehicle releasable on [date]. Used for availableDate. If missing use today.,What format in document? Releasable on 01/15/2026 or different?,"The date from which the car is released is usually indicated only in Mannheim documents and is written like this, for example:
""Vehicle Not Available for Release.
Vehicle is releasable on Feb 03, 2026 at 12:00 CST."" A rule should be established that if the ONSITE VEHICLE RELEASE in the Mannheim document doesn't include this statement (the date in my example is provided as an example, not as a rule for you to use), then the car is available for release from the moment the transport order is received. However, there are cases where the Mannheim document doesn't include an ONSITE VEHICLE RELEASE, and in those cases, a note should be made stating ""NO ONSITE VEHICLE RELEASE""—a call to action to contact the seller and request an ONSITE VEHICLE RELEASE."
